crc32,item
3854640803,NV.ITEM.GUARD
4288251595,MCW.FR1.DL.PHY_CAL.OFFSET_RDQ
740912509,MCW.FR1.DL.PHY_CAL.OFFSET_RDQS
1646700438,MCW.FR1.DL.PHY_CAL.PHASE_SHIFT_RDQ
963575573,MCW.FR1.DL.PHY_CAL.PHASE_SHIFT_RDQS
2636572721,MCW.FR1.DL.PHY_CAL.VREF_SEL_L
3928086695,MCW.FR1.DL.PHY_CAL.VREF_SEL_M
2588617768,MCW.FR1.DL.PHY_CAL.VREF_SEL_H
4075167640,MCW.FR1.DL.PHY_CAL.DLL_LOCK
2623256799,MCW.FR1.DL.PHY_CAL.DONE
732370873,MCW.FR1.UL.PHY_CAL.OFFSET_RDQ
2465612796,MCW.FR1.UL.PHY_CAL.OFFSET_RDQS
795433593,MCW.FR1.UL.PHY_CAL.PHASE_SHIFT_RDQ
160845569,MCW.FR1.UL.PHY_CAL.PHASE_SHIFT_RDQS
1226340675,MCW.FR1.UL.PHY_CAL.VREF_SEL_L
1042237909,MCW.FR1.UL.PHY_CAL.VREF_SEL_M
1316339034,MCW.FR1.UL.PHY_CAL.VREF_SEL_H
910599370,MCW.FR1.UL.PHY_CAL.DLL_LOCK
1640168568,MCW.FR1.UL.PHY_CAL.DONE
2306654198,MCW.FR2.DL.PHY_CAL.OFFSET_RDQ
1949811797,MCW.FR2.DL.PHY_CAL.OFFSET_RDQS
1626906801,MCW.FR2.DL.PHY_CAL.PHASE_SHIFT_RDQ
2623968377,MCW.FR2.DL.PHY_CAL.PHASE_SHIFT_RDQS
3955478796,MCW.FR2.DL.PHY_CAL.VREF_SEL_L
2630148506,MCW.FR2.DL.PHY_CAL.VREF_SEL_M
3970831637,MCW.FR2.DL.PHY_CAL.VREF_SEL_H
2314771835,MCW.FR2.DL.PHY_CAL.DLL_LOCK
3485590363,MCW.FR2.DL.PHY_CAL.DONE
864374195,MCW.FR2.DL.PHY_CAL.IO_OFFSET_L
1149402405,MCW.FR2.DL.PHY_CAL.IO_OFFSET_M
887654826,MCW.FR2.DL.PHY_CAL.IO_OFFSET_H
3815168155,MCW.FR2.DL2.PHY_CAL.OFFSET_RDQ
1197392855,MCW.FR2.DL2.PHY_CAL.OFFSET_RDQS
688421244,MCW.FR2.DL2.PHY_CAL.PHASE_SHIFT_RDQ
2046483117,MCW.FR2.DL2.PHY_CAL.PHASE_SHIFT_RDQS
2178528865,MCW.FR2.DL2.PHY_CAL.VREF_SEL_L
4141778679,MCW.FR2.DL2.PHY_CAL.VREF_SEL_M
2259972728,MCW.FR2.DL2.PHY_CAL.VREF_SEL_H
3291206421,MCW.FR2.DL2.PHY_CAL.DLL_LOCK
2255101102,MCW.FR2.DL2.PHY_CAL.DONE
15485489,MCW.FR2.DL2.PHY_CAL.IO_OFFSET_L
2011921063,MCW.FR2.DL2.PHY_CAL.IO_OFFSET_M
125931048,MCW.FR2.DL2.PHY_CAL.IO_OFFSET_H
1564618372,MCW.FR2.UL.PHY_CAL.OFFSET_RDQ
3404262100,MCW.FR2.UL.PHY_CAL.OFFSET_RDQS
766991710,MCW.FR2.UL.PHY_CAL.PHASE_SHIFT_RDQ
2896045165,MCW.FR2.UL.PHY_CAL.PHASE_SHIFT_RDQS
1073561726,MCW.FR2.UL.PHY_CAL.VREF_SEL_L
1224372456,MCW.FR2.UL.PHY_CAL.VREF_SEL_M
948995175,MCW.FR2.UL.PHY_CAL.VREF_SEL_H
1297622569,MCW.FR2.UL.PHY_CAL.DLL_LOCK
844670972,MCW.FR2.UL.PHY_CAL.DONE
2371511090,MCW.FR2.UL.PHY_CAL.IO_OFFSET_L
4200420260,MCW.FR2.UL.PHY_CAL.IO_OFFSET_M
2318903083,MCW.FR2.UL.PHY_CAL.IO_OFFSET_H
265349289,POWER.COM.MODEM_DVFS
2292067369,POWER.COM.MODEM_DFS_MINLOCK
2939203009,POWER.COM.MODEM_DVS_MINLOCK
1943521521,POWER.COM.MODEM_CLOCK_GATING
2080717983,POWER.COM.RFD_CLOCK_GATING
2398103271,POWER.COM.MCW_DVFS_FR1
402224989,POWER.COM.MCW_DVFS_FR2
4134717027,POWER.COM.MCW_DQS_CLEAN_DISABLE_FR2
4018841676,POWER.WCDMA.WAKEUPMARGIN_LOGGING_SLOT
1625996776,POWER.WCDMA.WAKEUPMARGIN_OPTIMIZED_SLOT
141767833,POWER.WCDMA.WAKEUPMARGIN_CHIPSET_SLOT
964835732,POWER.COM.LPM_FORCED_ENABLE_DEBUG
1846782323,!POWER.LTENR.ENABLE_VOICE_DRX_SYNC
80227228,HALDRV.MODEM_DVFS.LOGGING
2755528205,HALDRV.ADC.LOGGING
859857163,HALDRV.DAC.LOGGING
3119225874,HALDRV.DMCT.LOGGING
1890772265,NASU.ModeSelect
778143414,DS_NASU.ModeSelect
1746471804,PSS.SLB Type
